,Unnamed: 0,data,label
4045,4045,i experienced kindness in so many places i visited so i was happy to feel welcomed by strangers back in the us,1
6236,6236,i was feeling rejected by the architect,0
64855,64855,i had more room and places to go around so that i wont feel agitated just like right now,3
27146,27146,i feel like if i went to sleep now there wouldnt be a nightmare waiting only a pleasant dream of secrets and held hands and understanding,1
65871,65871,i feel more intelligent or wiser,1
15383,15383,i went on the front porch roof to paint climbing out my bedroom window and feeling very brave indeed,1
64705,64705,i came home feeling energized and excited for the next trip instead of blissfully grateful for a house with four walls,1
22898,22898,i cant help but feel a little nervous about what the next few days as we try to get there and settle back in,4
69305,69305,im feeling cranky as hell i figured to stay indoors and just chill,3
23064,23064,i always had the feeling that ella somehow admired my rebellion against the world because she who had so much more drive and guts than most men often felt stymied by having been born female,2
7837,7837,i could have cooked them up and made pie but we have a freezer full of cooked apples and i wasn t feeling virtuous enough to make pie for the apple haters,1
38881,38881,i feel like we plan things out and its now the special time and there is always always always some sort of interruption or detour,1
53102,53102,i feel like i have to give a special mention to janis curry who spoke about facebook pages though it wasn t really so much what she said as it was about how she said,1
5965,5965,i need to accept that to acknowledge that thats the choice im making rather than feel frustrated that i havent hit publish on those draft posts,3
48906,48906,i feel im so irreversibly fucked up and its getting worse and worse and that scares me,3
63199,63199,i feel like my perineum has been subjected to hours of violent kicking from enraged footballers or maybe some form of world war torture technique i m grateful for any bit of additional meat on my bum that absorbed some of the hardship but there just isn t believe it or not enough there,3
20555,20555,i had the clear feeling again that i would have liked to do all of my work even better but that i have had to settle for this balance doing my absolutely best under the circumstances,2
14083,14083,i really feel that i have had such rich ups and downs in my life and i am climbing out of a deep down,1
67453,67453,i am feeling heartbroken for what is happening in libya this beautiful country which was destroyed and whose people are noted for their hospitality stated metropolitan of tripoli who settled in libya in,0
14296,14296,im already feeling inspired having harvested some fresh raspberries from the garden this morning and thought id share with you a great british bake off and summer inspired victoria sponge cake recipe prefect for sunday afternoon tea,1
13574,13574,i have said before i feel you reached your limit with your capabilities for caring for her some time ago and then decided to keep her alive while you lived off her checks,2
13589,13589,i started to run i decided to run at a or perceived effort which gave me that icky chest feeling i hated so much when i first started running so i know it s helping me be a better runner,0
7939,7939,i feel quite disgusted by this,3
53265,53265,im feeling like a total girl and unsure of myself there is literally no feeling i hate more,4
68577,68577,i was feeling a bit more casual this drapey sweatshirt hoodie is a really elegant take on a basic and costs,1
44582,44582,i still feel pretty rotten about this race,0
63255,63255,i feel overwhelmed,4
41489,41489,i just feel like we re supporting each other better now and it s getting easier to read each other finally,2
41768,41768,i feel burdened with my choice,0
68350,68350,i was feeling a bit confused and overwhelmed but decided it was funny,4
34744,34744,i feel like i didn t do nearly as much as i would have liked to do,2
53870,53870,i go back and forth with feeling emotional about them leaving and feeling strongly that its their time to move on,0
1663,1663,i often feel absurdly triumphant when i return to some known part of the city after ive been somewhere new,1
40271,40271,i hate feeling envious and i see it as an alarm warning saying there is something awry in your world christine,3
21430,21430,i dont want to apologize because i honestly dont feel to sorrowful about it,0
53276,53276,i feel all too brave,1
63420,63420,i feel bitter when i hear of other familys and their international adoption successes,3
60777,60777,i can write about it in my journal or something i am good at keeping a secret from the world no it depresses me and although i feel idiotic happiuness is bliss i watch the news,0
9017,9017,i started to feel really naughty and completely forgot that the camera was there by time i had my clothes off and started to masturbate,2
36865,36865,i am saying yes to him my jesus has my full attention and i am learning to listen for his whispers and to feel his nudges because i dont want to miss anymore of his surprise parties or divine appointments that he has planned especially for me,1
42048,42048,i feel like i need to return to my beloved japan,2
18592,18592,i had on my cheetah garter belt because i was feeling as stealth and graceful as a cat,1
64708,64708,i don t actually want a us college education even if it would make me feel much more intelligent but there is sun in california,1
34847,34847,i am feeling seeing my sweet little designs come to life and turn into stamps,1
45757,45757,i love that everyone we invite to come to church with us feels welcomed and accepted,1
30829,30829,i feel ignored i feel this boredom like a little sword straight to my chest straight to my chest to my chest to my chest straight to my chest straight to my chest to my chest to my chest straight to my chest straight to my,0
60276,60276,i feel fairly mellow today so long as i dont interact with or think of kitt anyways so maybe im starting to accept it all maybe,1
46106,46106,i like when a girl shows confidence but i have this feeling that this doesn t actually help shy girls act more confident it just makes them feel more self conscious and like i m constantly evaluating that aspect of them when they do try to talk to people like me,4
68173,68173,i feel so delicate that any moment i am going to cascade spectacularly across this arrivals hall at natira airport and leave behind a trail of detritus seventeen time zones wide,2
55860,55860,i feel so determined to continue to live my life fully to not focus on all of the things im missing out on,1
28947,28947,i think sometimes i feel as though i deserve to talk badly about another person because they hurt me,0
2281,2281,i still think its a hit if it makes me feel more productive,1
65845,65845,i was feeling slightly tender yesterday we skipped the rides this time but im sure we will go again a few times before it leaves on christmas eve,2
51837,51837,i am by no means very claustrophobic when crunched up like that i can t help but feel a little agitated,3
32023,32023,i feel so ungrateful me who is far beyond survival me who see life as an oyster,0
15129,15129,i started my four weeks on monday and perhaps its because of just returning from vegas or because i was in denial that my summer break was ending or i was having too much fun last weekend i showed up on monday feeling very underprepared and i hated it,3
9395,9395,i was feeling all listless and stupid then i did some yoga and hung out outside,0
66013,66013,i guess that s why i m feeling so joyful today,1
3792,3792,i was feeling drained and in need of a little ally time,0
8880,8880,i felt a lot of pressure and generally hated the feeling of being numb,0
7772,7772,i found that the price of staying and feeling gorgeous has sky rocketed so i decided to take my own personal experiences and use them to give fellow students and other people on a budget a helping hand,1
64454,64454,i have taken to finding alternatives that make me feel more giving i bake and make cookie baskets i make gifts with my own little hands i call them rustically charming and i try to shop at stores that give something back,1
27589,27589,i feel like you dont seeing as im the only one blamed in this message,0
50263,50263,when my love for a guy was returned,1
48928,48928,i guess some women feel that i m not being loyal to the home team,2
55582,55582,i called them made me feel angry and i couldn t stand those persons that after only a little work started to consider themselves illuminated,3
3608,3608,is soft breath the exquisite feeling of his brothers elegant fingers wrapped so firmly around his length nothing would ever feel like this and sasuke would never be able to forget it,1
5042,5042,i feel like i need to read them in order but i got distracted during can you forgive her,3
52735,52735,i was now at the beginning of my cut im softer looking and feeling rather unhappy with myself but ive also learnt this past week that there are more important things in life then looking abit on the soft side,0
5988,5988,i feel ok like i can do more and pay later,1
30066,30066,i thanked alberto and again he said if i needed anything to feel free to just give him a call,1
52618,52618,i feel so stupid for doing this and i feel like screwing myself up because i worked so hard on the post to spread the word about stopping cp discrimination,0
41228,41228,i always feel rushed,3
66868,66868,i feel like a boy is worthwhile and i want to hang out with him then i expect nothing less of him,1
66871,66871,i guys okay so lately i ve been feeling kind of weird and not my usual pride amp prejudice loving merlin watching sporadic meo,4
37066,37066,i havent been blogging every day because as i said in my last post i am not feeling all that fantastic lately,1
61197,61197,im feeling so restless and a little bit lost without him but because i stumbled upon a blogging challenge that all of my favorite bloggers are participating in,4
30704,30704,i feel far too resentful and i have no energy to spare,3
49142,49142,i don t come with a guilt button so it s no good saying you shouldn t feel guilty,0
64416,64416,i don t like adding to this list it feels dirty and shallow but here comes now you see me an insulting mess of a film that for some unknown reason just stayed captivating enough to enjoy,0
56262,56262,i respond feeling partially relieved to hear her voice,1
65277,65277,i can find it a welcome sign of progress that a woman has a serious chance to become president of the us and feel its unfortunate for the specific woman who has this chance to be smeared by unreasonable people for nefarious purposes,0
50519,50519,i sort of want to scan my early drawings and put them here for show but i also feel rather shy about showing something so personal online,4
3700,3700,i feel that its ludicrous that i had to write this article but i hope the last two minute video made it worth it for all of the straight males and lesbians,0
59852,59852,i shouted feeling confused,4
3003,3003,i was feeling affectionate,2
25297,25297,i managed to meet two wonderful loving men who make me feel terrific whenever im around them with or without sex sessions,1
29858,29858,i got a feeling class delicious title share this on del,1
28411,28411,i feel now isolated and marginalized,0
8338,8338,i havent been feeling so pretty,1
54448,54448,i feel that i can be hopeful this time,1
24160,24160,i didn t want to hurt your feelings yet i remember i gave you that blank stare whenever you told me those tall tales intended to convince people of your true greatness and beauty,0
36482,36482,i struggle and get really cross and grumpy but as we all learn more and more about each other and grow together as a family we are getting better at knowing what to do when someone else is feeling grouchy and that is because we love each other so much,3
69100,69100,i feel less threatened by the world,4
10459,10459,i also know that i feel nothing than a friendly affection to them too,1
5664,5664,im feeling submissive,0
5067,5067,i feel petty for feeling this way,3
32008,32008,i feel because of my fantastic community of friends and family,1
36352,36352,i am feeling more homesick as my time here dwindles down it makes me happy to know that the traditions and customs in england during christmas time are very similar to my own,0
70337,70337,ive been enjoying taking pictures every day it actually helps me from falling into a rut from laying around feeling sad or lonely because it makes me grab the camera and make sure to document our day,0
24416,24416,i think its a lesson someone upstairs is trying to teach me right now because not only am i pregnant and feeling so impatient with how slow it seems to be going,3
51523,51523,i started to feel like to life out this fantasy of being the hero taking pleasure in helping the helpless is in a way unethical not to mention what it would do to my self image and my outlook on reality if i achieved my goal,0
18482,18482,i can see that even if his defenses are up and he seems to be doing small talk he can feel my fear and his soul is caring for mine even if i havent always been there for him,2
24676,24676,i was looking at the shelves which could not have made me feel more offended,3
70740,70740,i hate wearing watch but at the same time i will feel distressed if i dont know what time is it,4
41704,41704,i just have a wild imagination but it feels so weird and it scares the shit out of me,5
29075,29075,i wont feel fully resolved until our baby is in our arms but thats true for any ifer no,1
26701,26701,i feel joyful and complete,1
2234,2234,i feel horribly uncertain about not having a direction for my life and usually feel like i am riding the continual struggle bus because of this,4
16231,16231,i just feel determined to finish the things but i seriously needed a break since i have been studying for like hours straight already,1
67372,67372,i was feeling a little nervous but i was sure that i was up for the challenge,4
7094,7094,i ask myself do i feel as valuable to god even though i am tired and anxious and dont get much accomplished,1
7889,7889,i feel like i am really passionate about our topic and i really hope that shows when i present,2
14568,14568,i feel uncomfortable being in the spotlight and the center,4
61625,61625,i feel like were in a messy situation for a while it feels comforted somehow that am returning to a room of my own even if its not my own place,0
54158,54158,i had a model a to call my own and in some respects i was already feeling like a hot rodder,2
7016,7016,i hope you never feel that type of sorrowful expression,0
23630,23630,i feel invigorated and ready to take them on,1
57631,57631,i know ill feel rather regretful at the beginning,0
5248,5248,i am around you i always feel so naughty and just insatiable and every moment is spent thinking about that next touch that next kiss or caress,2
6773,6773,i feel reallly bitchy,3
49167,49167,i feel smart when i say,1
59564,59564,i was beginning to feel defeated,0
19938,19938,i bought a pink diary book with a lock and key it made me feel i belonged to a special club,1
60190,60190,i eat one it feels awkward,0
64810,64810,i tend to gravitate towards when i am feeling adventurous would be teal and aquas,1
30258,30258,i feel dumb for even typing about it right now but i must know,0
23247,23247,i am feeling shitty and isolated and says something amazing,0
59797,59797,i feel shitty about myself and i feel like crying right now,0
33145,33145,i can chose to feel joyful or i can choose the alternative,1
34689,34689,i have been feeling overwhelmed with it all and needing to take time out,5
38719,38719,i was worried his feelings may be hurt a little but he responded so amazing,0
64083,64083,i can really feel life is cold and unreal but so many times and so many days i wonder why,3
28099,28099,i feel more friendly when i am writing nicer to people much more generous also wiser,1
15172,15172,i feel a little bit sentimental about letting them go because they were a gift from my sister,0
56880,56880,i feel so fucked up right now that i feel like ending my life everything is just messed up and i dont know what to do,3
69701,69701,i feel like the casual interviews make the stripping and stroking that follows all the more exciting and i think you ll agree,1
53237,53237,i feel that god has been so gracious to us in regard to our girls,2
55683,55683,i feel extremely passionate about this group of songs i feel destined to make this record,2
25465,25465,i just tell myself even though i feel ugly i am not,0
68029,68029,i feel i am a little fake than being me,0
26580,26580,i said so screw he starts saying do you feel ashamed the reason he said this was because a few years back during work i ask a colleague of me whether he will feel ashame because he did not do tee and rather go tafe after,0
55388,55388,i wanted to creata an ambience of togetherness so we can all feel like we are supporting each other,2
67607,67607,i finally got over feeling intimidated by the idea of a lapbook and decided to just take the chance it wouldnt work out and at least be able to cross it off my list of homeschooling things to try,4
36662,36662,i feel i have missed some key points not least the stunning artwork and packaging that eglantine have put together in collaboration with aur lie brouet,0
68789,68789,i remember correctly it was in january of that i started to feel discontent,0
49856,49856,i feel all fucked up,3
53124,53124,i feel scared that i own it,4
58173,58173,i feel calm right now,1
8728,8728,i own makes me feel amazing mostly i feel fine about them,1
23201,23201,i have put my best shot on eye i still feel discontent about it especially malay,0
51191,51191,i feel for them dogs are faithful i wish i cou d say as much for th,1
61693,61693,i hope that you will always feel free to speak your mind with me that you never have to hide what youre thinking or what youre feeling,1
56362,56362,after having quarelled with a relative of mine about politics,3
39099,39099,i will miss you chris but i never want you to feel worthless ugly or the least loved in the foursome because you are not,0
30073,30073,i feel pretty when i happen past a corner shop displaying lovely jewelry in the window,2
14524,14524,i feel fab and new and so confident like i could walk down the runway wearing just jeans and a t shirt,1
23766,23766,i feel a hot wave of resentment coming from the parents around me angry that we have ruined their need of for a perfect ceremony,2
38826,38826,i feel like the most ungrateful woman on earth when i learn such stuff,0
69614,69614,id apply this cream after cleansing and wake up with the cream completely absorbed into the skin which feels more than lovely,2
32377,32377,i appreciate what they have to say i often feel intimidated by it,4
21973,21973,i would feel unwelcome to if of the voting voluteers said no to me getting married,0
7644,7644,i feel like weve come to a point where the popular understanding of what that word means among game designers is making an environment evoke emotion by adding a lot of manipulative gimmicky features into the game,1
64717,64717,i am partially feeling amazed by how fast times passes i also feel a little bit choked up and teary that ive had such amazing friends for so long now,5
58251,58251,i feel fond about almost everything already,2
45306,45306,i feel good about she writes,1
31338,31338,i hugged her and i can feel the emotional touch,0
15045,15045,im pregnant and looking for a flattering dress that i can feel cute in now and that i could still wear after i have the baby,1
28797,28797,i was not sure how did i feel at that time slightly annoyed and slightly grateful i guess,3
30642,30642,i guess im just really growing tired of feeling judged and blamed for something that is so clearly beyond my control,0
11863,11863,i am feeling to an artist or track that is currently popular,1
62470,62470,i feel pretty satisfied for now in terms of historical miniatures,1
11575,11575,i cant help but feel suspicious when he asks for money,4
35214,35214,im feeling fine this morning so i will start drinking veggie broth each day once i run out of juice,1
4039,4039,i feel everything is looking lovely i can relax and concentrate on working in my studio doing what i love best which is sewing and crafting,2
32953,32953,i forgot her name but what she pointed out made me think of some interesting phenomenon in sports training such as the way to motivate team members how to create a team climate and how to make everyone in the team feel like they are important,1
45399,45399,i liked a few of the nude and pink shades and while i was feeling brave i purchased a nude loccitane lipstick and i absolutely love it,1
63304,63304,i remember feeling vaguely dirty and horrible after this session with him,0
67424,67424,i feel mildly brain damaged and can t wrap my head around any of my daily chores or assignments,0
30914,30914,ive been feeling frustrated antsy on edge,3
41854,41854,i feel more myself and am so thrilled to be in this space as a person mother and what is to come,1
52170,52170,i feel the cold setting in there s no life left in him,3
30852,30852,i reach this point it is usually because i feel shaky and desperate to eat,4
40550,40550,i feel sad every time i hear from him,0
32103,32103,i catch every traffic light or i have just underestimated the journey i may begin to feel agitated cursing other drivers and blaming all manner of things for the blemish on my record of punctuality,4
34676,34676,i think there will be problems and while people wouldn t say anything i know some would be very disappointed if they were sat outside away from the rest of the party it would make them feel unwelcome,0
7851,7851,i feel like they give a pretty good glimpse into my music tastes,1
45026,45026,im here it usually makes me feel carefree,1
39497,39497,i feel like something has snapped in andy and he has switched bodies with myself as an insecure seventeen year old,4
42309,42309,i feel valued there and appreciated,1
47781,47781,i feel nervous or excited or a healthy dose of both,4
53788,53788,i feel i told her i didnt want to because i dont want you guys to think im needy or annoying,0
17440,17440,i feel really excited just like the feeling of indiana jones on his adventure allright so,1
23305,23305,i feel i am far too fond of this enter button here,2
44444,44444,i trudged on feeling quite pleased that id made the effort to come down,1
4782,4782,i feel like i am going mad,3
24835,24835,i say fell in love i completely gave in to all my feelings and emotions and devoted myself to her,2
3090,3090,i feel an overwhelming sense of calm,1
6771,6771,i was driving home from the south bay and self reflecting a few weeks ago when suddenly i just stopped feeling needy,0
13360,13360,i always feel anxious and sorry for myself when im ill,4
34462,34462,i feel hated upon confederate hellcat tag a href http theparody,3
50057,50057,i feel alittle frantic to find it but i know i kept it i just need to figure out where,4
16923,16923,i shouldve stopped feeling envious she has her own life i knew it but its still so hard,3
606,606,i shalt tel thu of biers und faethrhud und song cumen all und lysten hwile i spaecs und thu shalt naht feel unhappy for i bringen bier und taels of faethrhud yes lysten awhile for the gleoman spaecs well a class profile link href http www,0
3981,3981,i went from being depressed and feeling isolated to being productive and empowered,0
58232,58232,i learned as a girl was don t look at beauty magazine they will only make you feel ugly,0
45587,45587,i feel honoured and privileged to have shared webspace with so many fantastic writers and all the warm witty and generous people who have visited regularly and irregularly for the past three years,1
1509,1509,i like icecream it make me feel so sweet n happy when i eat,2
2138,2138,i cannot help feeling a little sceptical,4
42394,42394,i don t believe in throwing definitions or song lyrics into writings as i feel they show a weakness in the writing and here i was afraid i was going to have to quote merriam webster in order to make my point,4
33754,33754,i came away feeling violent,3
15659,15659,i feel like i m constantly apologizing for lame food pictures so here i go again,0
48523,48523,i just am so tired of feeling lonely and yet when someone comes along who can take away that feeling i run away,0
67117,67117,i think i am feeling a little stressed and i certainly feel as though i have no control over my life at the moment which doesn t help i am a control freak,3
8565,8565,i feel like a playful kitten here,1
45051,45051,im cold but the release of energy leaves me feeling peaceful,1
66787,66787,i feel unaccountably shy and can t bring myself to look up at her but when she squeezes my hand and shifts a little bit close i feel like maybe hellip maybe i can actually find my way out of this hell hole i feel like i m in,4
67750,67750,i was feeling uncertain about what it would mean in terms of attachment and bonding,4
43638,43638,i just didnt feel anything at all to be completely truthful,1
62551,62551,i have very light eyeshadow on and so im feeling a little sweet and innocent today,2
10924,10924,i feel i must pause here to write this im a cranky old lady who will write absolutely nothing about the twilight movies save that statement,3
41025,41025,i didnt feel like i was useful to anyone or had any purpose at all,1
68684,68684,i can go for a week or two without feeling empty of the loss of my moms presence of being alive,0
3833,3833,i was only becoming more filled with pain and feelings of grief to suppress and my relationships were suffering including my relationship with god,0
34422,34422,i was feeling crappy after a week of not writing much,0
37317,37317,i can be this methodical when i m feeling energetic and anxious to just get on with things,1
32124,32124,i feel alittled defeated,0
53395,53395,i will feel delighted again whe pagetitle indicators of development i m happy when i m with u,1
9000,9000,i am looking forward to the benefits of more living space i cant help but feel a little nostalgic about how many great memories have been made here,2
26823,26823,i should be amplified not seeking to make them feel comfortable,1
32811,32811,im a big one for never asking for help and then i feel resentful because i never get help,3
65364,65364,i was feeling defeated,0
64640,64640,i was pregnant and i was having a rough pregnancy one where i was feeling lousy the majority of the time,0
65441,65441,i love my bf lots too but we always end up fighting over absolutely nothing cos i just get depressed over stupid things then feel ugly and get jealous if he even so much as looks at another female and then it ends up being ww,0
41241,41241,i hate feeling slightly mad,3
66522,66522,i am feeling gloomy today a href http seaofhappiness,0
18357,18357,i went to bed feeling proud of myself,1
14000,14000,i feel it would be absolutely tragic if it went to waste you know with the rice and tomato shortages going on all of which have affected me directly in the past few weeks not to mention the bees going crazy,0
18922,18922,i was feeling quite discouraged before the race because i attempted a km bike km run the wednesday before and felt like i was going to die,0
54056,54056,i know that people feel helpless and this is one way that they feel they can help,4
41431,41431,i feel that i am also reluctant to let the project go and be finished,4
60440,60440,i have decided not to eat at mcdonalds until the doraemon promotion is over and i encourage those of you who feel insulted by mcdonalds opinion of our intelligence to do the same,3
19818,19818,i am spinning for the sake of spinning rather than focusing on what im going to knit with the yarn and feeling impatient that its taking so long,3
13150,13150,im feeling pretty proud of myself because i am not really a car guy,1
16475,16475,i start to feel a little scared at what they might say,4
63089,63089,i pumped what i could for her and brought it in but i honestly didn t feel like the nicu staff was very supportive,2
26378,26378,i feel needy for attention and i feek bad about it,0
54013,54013,i feel like im being tortured by big brother and im not even on the blue team,4
55359,55359,i feel like there s a wave of talented women that are rooted in traditional country that is a good thing,1
3119,3119,i do want him to feel this pain but i dont want anymore innocent animals to have to suffer because hes stupid,1
34860,34860,i am feeling very emotional lately and was super super super cranky when i was hungry,0
